codigo;entidad;tipo
INFBR08-067;OFICINA DESCONCENTRADA DE CONTROL DEL DISTRITO FISCAL DE SULLANA;edificaciones
INFBR10-002;RESTAURANTE MI CHOCOLATITO - MARIA MAGDALENA AVILA PANTA;edificaciones
INFBR09-012;MABYCORP INCORPORACION S.A.C;edificaciones
INFBR09-021;LUCHO WASH;edificaciones
INFBR08-043;LUBRICENTRO Y CARWASH D&F - FERNANDO ALAIN INCIO FLORES;edificaciones
INFBR10-012;"MOTO REPUESTOS Y SERVICIOS GENERALES ""CARMEN"" - CARMEN CRUZ LEYDI MERCEDES";edificaciones
INFBR10-008;CAR WASH AUTO SPA - LARRY JACKSON ALBURQUEQUE JUAREZ;edificaciones
INFBR08-004;ASOCIACION PERUANA DE LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS;edificaciones
INFBR08-082;LA CHOZA ACUSTICA - JORGE ARMANDO CHAVEZ GONZALES;edificaciones
INFBR08-088;LA BARRA DE CORREA - EMILY LIZET CASTILLO ZAPATA;edificaciones
INFBR10-025;KENEST PRESTAMOS AL INSTANTE (AGENTE);edificaciones
INFBR08-003;ESTABLECIMIENTO KARATE;edificaciones
INFBR08-025;JUZGADO DE PAZ DE UNICA NOMINACION DE CORTE SUPERIOR DE SULLANA;edificaciones
INFBR10-021;MERINO MOTORS E.I.R.L. - JULIO ARTEMIO MERINO CALDERON;edificaciones
INFBR10-011;SERVICIO TECNICO ELECTROMECANICA MOTOS;edificaciones
INFBR08-016;INSTITUCION EDUCATIVA PRIVADA SANTA RITA DE CASIA;edificaciones
INFBR08-023;INSTITUCION EDUCATIVA PRIVADA INICIAL - CENTRO DE ESTIMULACION TEMPRANA PLAY SCHOOL;edificaciones
INFBR08-009;EPM # 15030 DIVINO CORAZON DE JESUS;edificaciones
INFBR08-022;INSTITUCION EDUCATIVA INICIAL PRIVADA PASITOS CREATIVOS;edificaciones
INFBR09-031;INKAFARMA - BOTICAS IP S.A.C.;edificaciones
INFBR08-078;IGLESIA EVANGELICA BAUTISTA EBENEZER;edificaciones
INFBR10-016;"IGLESIA EVANGELICA ""JESUS ES EL CAMINO, LA VERDAD Y LA VIDA"" HERMANOS MENONITAS - SULLANA";edificaciones
INFBR09-010;I.E.P. DIVINO REDENTOR E.I.R.L;edificaciones
INFBR10-035;I.E.P. NIÑOS FELICES;edificaciones
INFBR05-104;HOTELES EL CARRUAJE E.I.R.L.;edificaciones
INFBR08-046;HOSPEDAJE VENUS DE NILO - ALEX MILTON AGUIRRE ZAPATA;edificaciones
INFBR08-068;HOSPEDAJE JUANITA II - RAUL MORE NAVARRO;edificaciones
INFBR08-080;HOSPEDAJE HILTONS DRIVE INN EIRL;edificaciones
INFBR08-055;HOSPEDAJE EL NIÑO;edificaciones
INFBR08-028;HOGAR DE ADULTOS MAYORES SAN FRANCISCO DE ASIS;edificaciones
INFBR10-030;ERA ODONTOLOGIA DIGITAL & ODONTO LASER;edificaciones
INFBR09-032;HELADERÍA - CAFETERÍA TJ - LEYDI VIVIANA E.I.R.L.;edificaciones
INFBR08-030;GRIFO AVA - STL 5.0 S.A.C.;edificaciones
INFBR08-081;HOSPEDAJE DEL VIAJERO - GRUPO DEL VIAJERO NORTEÑO S.A.C.;edificaciones
INFBR08-029;GRIFO CT-GAS - CT-GAS RAMIRO PRIALE S.A.C.;edificaciones
INFBR10-026;FULL FITNESS;edificaciones
INFBR08-074;FESTINA SABOR QUE CELEBRA - WILLIAM DENNIS CASTRO ESCUDERO;edificaciones
INFBR10-014;MOTOREPUESTO EVERT - EVER MOLOCHO VASQUEZ;edificaciones
INFBR09-018;ESTACION DE SERVICIOS BYM SAC;edificaciones
INFBR08-063;RESTAURANT CEVICHERIA EL RICO SULLANA DEL CHOPE - FRANKLY ELMER CHAPOÑAN ZAPATA;edificaciones
INFBR10-015;FERRETERIA PANCHITO HNOS S.A.C.;edificaciones
INFBR08-079;EL CHINGUIRITO NORTEÑO;edificaciones
INFBR10-033;ECO PLAZA MERCADO XXVI S.A.C;edificaciones
INFBR09-024 INFBR09-023;DISTRIBUCIONES OLANO S.A.C.;edificaciones
INFBR08-106;DIRECCION REGIONAL DE AGRICULTURA;edificaciones
INFBR08-061;COUNTRY CLUB EL MOLINO;edificaciones
INFBR08-013;COOPERATIVA AGRARIA DE USUARIOS RIO Y VALLE;edificaciones
BR04-342;CONSTRUCTURA ESTRELLA DE BELEM S.A;edificaciones
INFBR09-017;CONSTRUCTORA MPM SAC;edificaciones
INFBR08-001;COLEGIO SANTA URSULA;edificaciones
INFBR09-030;COMERCIALIZADORA DE GAS - MOLERO - CESAR AUGUSTO TAVARA CORDOVA;edificaciones
INFBR08-017;COMERCIAL SANTA MARIA - MARIA ZULEMA CELI BALCAZAR DE GUTIERREZ;edificaciones
INFBR08-050;"COLISEO DE GALLOS ""GRANDIOSO AURORA""";edificaciones
INFBR09-027;GRIFO PRIMAX - COESTI S.A.;edificaciones
INFBR08-102;CHIFA RESTAURANTE MERAKI - JERSSON FARIAS JIMENEZ;edificaciones
INFBR08-104;RESTAURANTE CHANI;edificaciones
INFBR08-011;CEVICHERIA PERUANITA BONITA - JENNY DEL PILAR HIDALGO JIRON;edificaciones
INFBR08-026;CEVICHERIA EL CONDOR E.I.R.L.;edificaciones
INFBR04-343;GAHETANO EXPRESS E.I.R.L.;edificaciones
INFBR09-006;CENTRO RECREACIONAL Y CAMPESTRE LAS MARIAS;edificaciones
INFBR08-036;CENTRO MEDICO VETERINARIO BENAVIDES;edificaciones
INFBR08-005;CENTRO DE ESTIMULACION TEMPRANA MUNDO PEQUES;edificaciones
INFBR08-027;CENTRO DE DIALISIS VITTA DIAL S.A.C.;edificaciones
INFBR10-006;TALLER DE MECÁNICA VALDIVIEZO;edificaciones
INFBR08-042;CAPILLA SANTA ROSA DE LIMA;edificaciones
INFBR08-069;CANCHAS MEGA SPORT - FIRMO GUILLERMO BURGA PUELLES;edificaciones
INFBR09-028;BURGER TRUCK;edificaciones
INFBR08-045;ASOCIACION CASA DEL MAESTRO;edificaciones
INFBR08-021;ACADEMIA ESCOLAR PREUNIVERSITARIA Y UNIVERSITARIA LOS TIGRES;edificaciones
INFBR10-034;RESTAURANTE CHIFA WAN LI;edificaciones
S2-628;DIRECCION REGIONAL DE TRABAJO Y PROMOCION DE EMPLEO;edificaciones
INFBR08-101;ESTABLECIMIENTO DE POLLERIA;edificaciones
S1-705;LA CAJA PERU S.A.C.;edificaciones
INFBR07-447;ADAMARIS ALEXANDRA NUÑEZ ATOCHE;superficies
INFBR09-001;JHONN MARTIN YOVERA GONZAGA;superficies
;URBANIZACIÓN POPULAR AMPLIACION NUEVA ESPERANZA;superficies
;URBANIZACIÓN POPULAR ELIANE KARP;superficies
;URBANIZACION POPULAR LA VIDENITA;superficies
INFBR06-399;JULIO INOÑAN VELASQUES;superficies
INFBR08-075;POSTA MEDICA POLICIAL (POSMEPOL) - UNIDAD EJECUTORA 020:SANIDAD DE LA PNP;superficies
;PROFINOR - PROYECTOS Y FINANZAS DEL NORTE S.A.C.;superficies
;JORGE LUIS LAZO NAVARRO;superficies
;SANTIAGO MERINO PANGALIMA;superficies
;URBANIZACION PRO VIVIENDA LAS CAPULLANAS;superficies
;URBANIZACION POPULAR BELLO HORIZONTE;superficies
;URBANIZACION POPULAR 2 DE SETIEMBRE;superficies
S1-981;RODRIGO FERNANDO TALLEDO BUSTAMANTE PIERO FERNANDO TALLEDO RETO SUSANA CAROL TALLEDO RETO;
;DIRECCION REGIONAL DE VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO;superficies
S5-020;HOSPEDAJE MARTHAS VIP - AUTOSERVICIOS MARTHA S.C.R.L.;edificaciones
;FLOR DE MARIA FERIA MADRID;
INFBR06-575;VILLA MONTERRICO - INMOBILIARIA Y CONSTRUCTORA EL ANGEL S.A.C;superficies
INFBR08-077;RESTAURANT KAFEINA - INVERSIONES MARGE S.A.C.;edificaciones
INFBR08-037;ELIZABETH ALVARADO MENDOZA;superficies
INFBR08-014;CENTRO ODONTOLOGICO SALVIA;edificaciones
INFBR10-028;CEVICHERIA PICA O NO PICA - ALEXANDRO SOTO JIMENEZ;edificaciones
INFBR08-018;CLANDESTINO RESTOBAR;edificaciones
INFBR10-009;ESTRUCTURAS METALICAS EL SAMBO - SEGUNDO ELIAS VIDAL DEL ROSARIO;edificaciones
